SUBURB,PRICE,BEDROOMS,BATHROOMS,LAND_AREA,BUILD_YEAR,CBD_DIST,NEAREST_STN,NEAREST_STN_DIST,POSTCODE,LATITUDE,LONGITUDE,NEAREST_SCH,NEAREST_SCH_DIST,MONTH_SOLD,YEAR_SOLD
South Lake,565000,4,2,600,2003,18300,Cockburn Central Station,1800,6164,-32.1159,115.84245,LAKELAND SENIOR HIGH SCHOOL,828,9,2018
Wandi,365000,3,2,351,2013,26900,Kwinana Station,4900,6167,-32.19347028,115.8595535,ATWELL COLLEGE,5524,2,2019
Camillo,287000,3,1,719,1979,22600,Challis Station,1900,6111,-32.12057813,115.993579,KELMSCOTT SENIOR HIGH SCHOOL,1649,6,2015
Bellevue,255000,2,1,651,1953,17900,Midland Station,3600,6056,-31.90054675,116.0380088,SWAN VIEW SENIOR HIGH SCHOOL,1571,7,2018
Lockridge,325000,4,1,466,1998,11200,Bassendean Station,2000,6054,-31.88579,115.94778,KIARA COLLEGE,1514,1,2016
Mount Richon,409000,4,2,759,1991,27300,Armadale Station,1000,6112,-32.1538014,116.0236578,ARMADALE SENIOR HIGH SCHOOL,1227,3,2013
Hilbert,400000,3,2,386,2014,28200,Armadale Station,3700,6112,-32.17997786,115.9886473,DALE CHRISTIAN SCHOOL,2485,5,2016
Waikiki,370000,4,2,468,2013,41700,Warnbro Station,1100,6169,-32.31766224,115.7619682,SOUTH COAST BAPTIST COLLEGE,491,3,2019
Hamersley,565000,4,2,875,1983,12100,Warwick Station,2500,6022,-31.84775987,115.8227005,WARWICK SENIOR HIGH SCHOOL,1221,6,2020
Bayswater,685000,3,2,552,1999,5900,Bayswater Station,508,6053,-31.91788,115.90705,CHISHOLM CATHOLIC COLLEGE,936,0,2019
Carmel,675000,4,2,2538,1977,22900,Madding,10700,6076,-32.01574,116.08891,CARMEL ADVENTIST COLLEGE,496,7,2014
Butler,367500,3,2,398,2003,36300,Butler Station,2100,6036,-31.65428,115.7022,BUTLER COLLEGE,680,1,2018
Balga,300000,3,2,243,2008,11500,Warwick Station,4800,6061,-31.84964681,115.846314,BALGA SENIOR HIGH SCHOOL,189,2,2019
Hammond Park,535000,4,2,704,2002,23100,Cockburn Central Station,3900,6164,-32.15959,115.84948,ATWELL COLLEGE,2220,7,2019
Wattle Grove,540000,4,2,614,2004,13100,Madding,5100,6107,-32.00294817,115.9836459,REHOBOTH CHRISTIAN COLLEGE,3234,5,2018
Bull Creek,685000,3,2,706,1985,12500,Murdoch Station,961,6149,-32.06458,115.86046,LEEMING SENIOR HIGH SCHOOL,1183,1,2017
Bullsbrook,350000,4,2,663,1994,36700,Midland Station,26000,6084,-31.66068818,116.0407159,HOLY CROSS COLLEGE,14013,1,2017
Maida Vale,570000,4,2,568,2003,15300,Midland Station,7000,6057,-31.95242,116.0207,DARLING RANGE SPORTS COLLEGE,2746,0,2020
