SUBURB,POSTCODE,AVERAGE_PRICE,LONG,LAT
Dalkeith,6009,1961922.0,115.816628049,-31.978481811
Peppermint Grove,6011,1771982.0,115.757350874,-31.993937691
City Beach,6015,1644756.0,115.7726803,-31.938247608
Swanbourne,6010,1590743.0,115.781979123,-31.975986673
Floreat,6014,1474613.0,115.797984378,-31.940403795
Naval Base,6165,1408000.0,115.808390857,-32.158022343
Applecross,6153,1396130.0,115.836785655,-32.014015959
Mosman Park,6012,1383912.0,115.764384467,-32.011115306
Wangara,6065,1375000.0,115.835108792,-31.789204817
Churchlands,6018,1314983.0,115.782840547,-31.891896969
Shenton Park,6008,1286031.0,115.822577907,-31.952674053
Trigg,6029,1236182.0,115.75667225,-31.8788928
West Leederville,6007,1234683.0,115.840397436,-31.9362356
South Perth,6151,1215011.0,115.87111528,-31.98252042
North Fremantle,6159,1213310.0,115.754595628,-32.029150562
Attadale,6156,1208155.0,115.797149894,-32.024012964
Salter Point,6152,1185206.0,115.870309069,-31.999399932
Menora,6050,1181980.0,115.871341595,-31.933234876
Rossmoyne,6148,1165273.0,115.880995763,-32.036450062
Watermans Bay,6020,1156864.0,115.758357947,-31.842163333
North Coogee,6163,1136482.0,115.7678968,-32.094667211
East Fremantle,6158,1125907.0,115.766545796,-32.034738466
Banjup,6164,1119134.0,115.845600902,-32.118906106
South Fremantle,6162,1097441.0,115.75484182,-32.071725483
Wembley Downs,6019,1083217.0,115.76897185,-31.900391739
Bicton,6157,1081997.0,115.784499529,-32.034413657
Munster,6166,1030000.0,115.780642252,-32.132609726
Anketell,6167,1005267.0,115.823824249,-32.241705513
Mount Hawthorn,6016,993524.0,115.833075482,-31.920288918
Burswood,6100,966152.0,115.895843603,-31.971540541
Winthrop,6150,935384.0,115.842989642,-32.06055188
Hillarys,6025,931422.0,115.751555309,-31.802820455
Burns Beach,6028,914279.0,115.737420521,-31.73262245
Booragoon,6154,893403.0,115.828468872,-32.041527696
Pickering Brook,6076,887857.0,116.049474504,-31.983052041
Baskerville,6056,886722.0,116.042377141,-31.869251523
Darling Downs,6122,861818.0,116.002141295,-32.2305423
Fremantle,6160,854387.0,115.747683969,-32.055444253
North Perth,6006,850071.0,115.860955557,-31.933859168
Oakford,6121,848733.0,,
Keysbrook,6126,839375.0,,
Stirling,6021,829455.0,115.817198756,-31.866607337
Inglewood,6052,816596.0,115.884953448,-31.918538904
Bull Creek,6149,814844.0,115.863386853,-32.062067153
Ascot,6104,806406.0,115.925568483,-31.949380735
West Swan,6055,801812.0,115.9766558,-31.843098399
Ocean Reef,6027,796583.0,115.758583958,-31.751796088
Highgate,6003,795231.0,115.859293745,-31.947602304
Gidgegannup,6083,793423.0,,
Carabooda,6033,793292.0,,
Belhus,6069,788565.0,115.976148894,-31.778880608
Gnangara,6077,788212.0,,
Bedfordale,6112,747200.0,115.98690677,-32.148084465
Maylands,6051,739669.0,115.904593047,-31.939070688
Mindarie,6030,723724.0,115.708909589,-31.670088457
Duncraig,6023,718932.0,115.771861329,-31.8333455
Mariginiup,6078,712126.0,115.8275204,-31.6975964
Willetton,6155,708270.0,115.905312903,-32.066007192
Darlington,6070,705283.0,116.06662565,-31.9104917
Neerabup,6031,702143.0,115.80096175,-31.70029675
Hopeland,6125,690139.0,116.0100956,-32.386465575
Orange Grove,6109,687878.0,115.986599226,-32.035802247
Dianella,6059,673858.0,115.871349823,-31.893760608
Karnup,6176,668197.0,115.7986063,-32.420703367
West Perth,6005,665810.0,115.842471577,-31.94822326
Mundaring,6073,650853.0,119.513727509,-31.510118973
East Victoria Park,6101,650207.0,115.90713943,-31.985717879
Woodvale,6026,646642.0,115.796529427,-31.798492373
Glen Forrest,6071,643989.0,116.1193218,-31.8736919
Yokine,6060,636718.0,115.845300448,-31.903200566
Parkerville,6081,629890.0,116.1391532,-31.8878904
