Code,School Name,Street,Suburb,State,Postcode,Postal Street,Postal Suburb,Postal State,Postal Postcode,Latitude,Longitude,Phone,Education Region,Broad Classification,Classification Group,Low Year,High Year,KIN,PPR,Y01,Y02,Y03,Y04,Y05,Y06,UPR,Y07,Y08,Y09,Y10,Y11,Y12,USE,Total Students
5001,ADAM ROAD PRIMARY SCHOOL,HOTCHIN STREET,SOUTH BUNBURY,WA,6230,HOTCHIN STREET,SOUTH BUNBURY,WA,6230,-33.357951,115.635371,08 9796 3000,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,51,49,46,54,69,61,62,48,,,,,,,,,440
1463,AL-AMEEN COLLEGE,57 SOUTHGATE ROAD,LANGFORD,WA,6147,57 SOUTHGATE ROAD,LANGFORD,WA,6147,-32.04605574,115.9371583,08 9458 5206,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,76,75,80,88,91,94,95,91,,86,106,81,85,67,66,,"1,181"
1397,AL-HIDAYAH ISLAMIC SCHOOL,CNR HEDLEY ST/NYAMUP WAY,BENTLEY,WA,6102,CNR HEDLEY ST/NYAMUP WAY,BENTLEY,WA,6102,-32.01035814,115.9115641,08 9351 8593,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,PPR,Y06,,33,33,31,31,32,28,24,,,,,,,,,212
8001,ALBANY COMMUNITY KINDERGARTEN,136 SERPENTINE ROAD,ALBANY,WA,6330,PO BOX 5670,ALBANY,WA,6332,-35.02145966,117.8809869,08 9841 1864,SOUTH WEST,Community Kindergartens,COMMUNITY KINDERGARTENS,KIN,KIN,29,,,,,,,,,,,,,,,,29
5002,ALBANY PRIMARY SCHOOL,SUFFOLK STREET,ALBANY,WA,6330,SUFFOLK STREET,ALBANY,WA,6330,-35.01821151,117.8916106,08 9844 2860,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,20,44,53,59,60,62,60,60,,,,,,,,,418
6151,ALBANY SECONDARY EDUCATION SUPPORT CENTRE,65 ANSON ROAD,ALBANY,WA,6330,65 ANSON ROAD,ALBANY,WA,6330,-34.99074882,117.8668674,08 9844 2550,SOUTH WEST,Education Support Centres,EDUCATION SUPPORT,Y07,Y12,,,,,,,,,,9,13,11,7,12,5,,57
4001,ALBANY SENIOR HIGH SCHOOL,1 CAMPBELL ROAD,ALBANY,WA,6330,1 CAMPBELL ROAD,ALBANY,WA,6330,-35.02044765,117.8917733,08 6821 1700,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,153,128,126,189,165,102,,863
5693,ALINJARRA PRIMARY SCHOOL,33 NORTHUMBERLAND AVENUE,ALEXANDER HEIGHTS,WA,6064,33 NORTHUMBERLAND AVENUE,ALEXANDER HEIGHTS,WA,6064,-31.82962571,115.8701402,08 9462 9950,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,42,48,43,36,47,38,29,42,,,,,,,,,325
1488,ALKIMOS BAPTIST COLLEGE,60 SEAGROVE BOULEVARD,MERRIWA,WA,6030,60 SEAGROVE BOULEVARD,MERRIWA,WA,6030,-31.66032819,115.7101785,08 9406 8189,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,12,18,18,19,14,23,24,32,,31,33,31,31,19,10,,315
5848,ALKIMOS BEACH PRIMARY SCHOOL,200 LEATHERBACK BOULEVARD,ALKIMOS,WA,6038,200 LEATHERBACK BOULEVARD,ALKIMOS,WA,6038,-31.625186,115.678659,08 9561 7200,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,60,67,63,79,61,62,56,64,,,,,,,,,512
