SUBURB,PRICE,BEDROOMS,BATHROOMS,LAND_AREA,BUILD_YEAR,CBD_DIST,NEAREST_STN,NEAREST_STN_DIST,DATE_SOLD,POSTCODE,LATITUDE,LONGITUDE,NEAREST_SCH,NEAREST_SCH_DIST
South Lake,565000,4,2,600,2003,18300,Cockburn Central Station,1800,2018-09-01,6164,-32.1159,115.84245,LAKELAND SENIOR HIGH SCHOOL,828
Wandi,365000,3,2,351,2013,26900,Kwinana Station,4900,2019-02-01,6167,-32.19347028,115.8595535,ATWELL COLLEGE,5524
Camillo,287000,3,1,719,1979,22600,Challis Station,1900,2015-06-01,6111,-32.12057813,115.993579,KELMSCOTT SENIOR HIGH SCHOOL,1649
Bellevue,255000,2,1,651,1953,17900,Midland Station,3600,2018-07-01,6056,-31.90054675,116.0380088,SWAN VIEW SENIOR HIGH SCHOOL,1571
Lockridge,325000,4,1,466,1998,11200,Bassendean Station,2000,2016-11-01,6054,-31.88579,115.94778,KIARA COLLEGE,1514
Mount Richon,409000,4,2,759,1991,27300,Armadale Station,1000,2013-03-01,6112,-32.1538014,116.0236578,ARMADALE SENIOR HIGH SCHOOL,1227
Hilbert,400000,3,2,386,2014,28200,Armadale Station,3700,2016-05-01,6112,-32.17997786,115.9886473,DALE CHRISTIAN SCHOOL,2485
Waikiki,370000,4,2,468,2013,41700,Warnbro Station,1100,2019-03-01,6169,-32.31766224,115.7619682,SOUTH COAST BAPTIST COLLEGE,491
Hamersley,565000,4,2,875,1983,12100,Warwick Station,2500,2020-06-01,6022,-31.84775987,115.8227005,WARWICK SENIOR HIGH SCHOOL,1221
Bayswater,685000,3,2,552,1999,5900,Bayswater Station,508,2019-10-01,6053,-31.91788,115.90705,CHISHOLM CATHOLIC COLLEGE,936
Carmel,675000,4,2,2538,1977,22900,Madding,10700,2014-07-01,6076,-32.01574,116.08891,CARMEL ADVENTIST COLLEGE,496
Butler,367500,3,2,398,2003,36300,Butler Station,2100,2018-11-01,6036,-31.65428,115.7022,BUTLER COLLEGE,680
Balga,300000,3,2,243,2008,11500,Warwick Station,4800,2019-12-01,6061,-31.84964681,115.846314,BALGA SENIOR HIGH SCHOOL,189
Hammond Park,535000,4,2,704,2002,23100,Cockburn Central Station,3900,2019-07-01,6164,-32.15959,115.84948,ATWELL COLLEGE,2220
Wattle Grove,540000,4,2,614,2004,13100,Madding,5100,2018-05-01,6107,-32.00294817,115.9836459,REHOBOTH CHRISTIAN COLLEGE,3234
Bull Creek,685000,3,2,706,1985,12500,Murdoch Station,961,2017-11-01,6149,-32.06458,115.86046,LEEMING SENIOR HIGH SCHOOL,1183
Bullsbrook,350000,4,2,663,1994,36700,Midland Station,26000,2017-11-01,6084,-31.66068818,116.0407159,HOLY CROSS COLLEGE,14013
Maida Vale,570000,4,2,568,2003,15300,Midland Station,7000,2020-10-01,6057,-31.95242,116.0207,DARLING RANGE SPORTS COLLEGE,2746
Koongamia,318000,2,1,751,1959,18100,Midland Station,4100,2013-05-01,6056,-31.90409,116.04213,SWAN VIEW SENIOR HIGH SCHOOL,1859
Mount Nasura,379000,3,2,785,1977,25400,Challis Station,1300,2017-08-01,6112,-32.13247,116.0242,SOWILO COMMUNITY HIGH SCHOOL,1364
Forrestdale,387500,4,1,782,1981,23300,Armadale Station,6600,2017-04-01,6112,-32.14885,115.94308,CAREY BAPTIST COLLEGE,4204
