POSTCODE,LONG,LAT
6000,115.859912,-31.948762
6001,115.763228,-31.99212
6003,115.869136,-31.939272
6004,115.874601,-31.956931
6005,115.836896,-31.95707
6006,115.852913,-31.92934
6007,115.834335,-31.935675
6008,115.811432,-31.956599
6009,115.804692,-31.985791
6010,115.77639,-31.971647
6011,115.757646,-31.996371
6012,115.763404,-32.015976
6014,115.808169,-31.936389
6015,115.764683,-31.938454
6016,115.831181,-31.921222
6017,115.814562,-31.908357
6018,115.786821,-31.891957
6019,115.769183,-31.90733
6020,115.765396,-31.852698
6021,115.811933,-31.871671
6022,115.80924,-31.851998
6023,115.774028,-31.834469
6024,115.803068,-31.83489
6025,115.754405,-31.79583
6026,115.799832,-31.801707
6027,115.756405,-31.763347
6028,115.747655,-31.733717
6029,115.755689,-31.876897
6030,115.711684,-31.687341
6031,115.772138,-31.692538
6032,115.74887,-31.643227
6033,115.711357,-31.609115
6034,115.663878,-31.585614
6035,115.729901,-31.524716
6036,115.70986,-31.649385
6037,115.616105,-31.48847
6038,115.723047,-32.289149
6041,115.568551,-31.379673
6042,115.508625,-31.254414
6043,115.424522,-31.141763
6044,115.424656,-30.972846
6050,115.871864,-31.930574
6051,115.899589,-31.938107
6052,115.883976,-31.915463
6053,115.914851,-31.920863
6054,115.942572,-31.901801
6055,115.9734135,-31.82796346
6056,116.0261,-31.838398
6057,116.004245,-31.94994
6058,116.006688,-31.985241
6059,115.861726,-31.882862
6060,115.840879,-31.903241
6061,115.843478,-31.864113
6062,115.89088,-31.886322
6063,115.937824,-31.866822
6064,115.849098,-31.835333
6065,115.845329,-31.69444
6066,115.896508,-31.84269
6067,115.899644,-31.816059
6068,115.941108,-31.826199
6069,115.989248,-31.78156868
6070,116.079266,-31.929036
6071,116.100432,-31.889087
6072,116.132045,-31.907828
6073,116.28143,-31.949349
6074,116.20454,-31.896593
6076,116.208263,-32.108961
6077,115.845329,-31.69444
6078,115.845329,-31.69444
6079,115.845329,-31.69444
6081,116.146074,-31.876046
6082,116.295706,-31.738368
6083,116.196639,-31.793051
6084,116.072828,-31.622021
6090,115.894254,-31.862589
6100,115.896029,-31.971725
6101,115.908576,-31.985247
6102,115.904425,-32.005644
6103,115.913458,-31.960364
6104,115.977633,-31.965498
6105,115.963293,-31.95388
6106,115.945564,-31.992082
6107,115.967142,-32.017663
6108,115.953584,-32.06089
6109,116.013165,-32.039897
6110,116.008603,-32.078535
6111,116.192636,-32.10398
6112,115.997934,-32.158675
6121,115.916459,-32.208934
6122,116.0072,-32.221725
6123,115.98589,-32.295176
6124,116.072494,-32.338316
6125,115.901277,-32.364427
6126,115.977043,-32.440033
6147,115.941353,-32.043771
6148,115.924691,-32.030183
6149,115.858679,-32.064941
6150,115.833608,-32.061682
6151,115.869482,-31.982199
6152,115.870058,-32.008509
6153,115.837525,-32.024363
6154,115.825994,-32.040061
6155,115.890779,-32.061501
6156,115.800233,-32.03954
6157,115.783732,-32.038228
6158,115.766561,-32.038541
6159,115.750311,-32.035224
6160,115.754545,-32.054065
6161,115.520516,-32.005554
6162,115.759022,-32.068768
6163,115.798722,-32.084784
6164,115.854584,-32.131993
6165,115.799431,-32.19598
6166,115.790704,-32.158361
6167,115.835308,-32.223657
6168,115.75773,-32.281957
6169,115.763949,-32.338504
6170,115.835972,-32.265645
6171,115.833257,-32.328863
6172,115.753147,-32.37547
6173,115.757908,-32.407414
6174,115.760224,-32.42656
6175,115.755289,-32.445896
6176,115.814323,-32.421669
6180,115.728286,-32.557981
6181,115.728286,-32.557981
6182,115.832257,-32.44631007
